solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front
0,256,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.038000,1395,77,10,4,156,11.4399,0.5823,34.936,1,1123,23628,1
1,256,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0.037000,1395,79,10,4,160,10.4153,0.5858,35.151,1,1123,23628,1
2,256,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.038000,889,56,6,4,138,10.3083,0.4200,25.199,1,1123,23628,1
3,256,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.030000,1459,79,10,4,160,17.2662,0.5924,35.543,1,1123,23628,0
4,256,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0.032000,1483,79,10,4,160,18.0071,0.5926,35.554,1,1123,23628,0
5,256,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.041000,1453,79,10,4,160,23.1571,0.5931,35.587,1,1123,23628,0
6,256,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.029000,1394,79,10,4,160,17.3086,0.5860,35.161,1,1123,23628,1
7,256,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.032000,1488,79,10,4,160,18.0355,0.5926,35.554,1,1123,23628,1
8,256,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.041000,1392,78,10,4,158,23.1673,0.5860,35.161,1,1123,23628,1
9,256,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.040000,892,57,6,4,140,10.3230,0.4201,25.208,1,1123,23628,1
10,256,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0.029000,1483,79,10,4,160,17.0765,0.5926,35.554,1,1123,23628,0
11,256,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.030000,1480,79,10,4,160,17.5606,0.5926,35.554,1,1123,23628,1
12,256,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0.038000,1461,79,10,4,160,18.2031,0.6147,36.879,1,1123,23628,1
13,256,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.042000,1464,79,10,4,160,23.1761,0.5924,35.543,1,1123,23628,1
14,256,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.039000,1463,79,10,4,160,18.2229,0.6147,36.879,1,1123,23628,1
15,256,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043000,1469,79,10,4,160,23.1859,0.5924,35.543,1,1123,23628,0
16,256,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.032000,1488,79,10,4,160,18.0071,0.5926,35.554,1,1123,23628,0
17,256,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.034000,1483,79,10,4,160,18.0355,0.5926,35.554,1,1123,23628,0
18,256,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0.031000,1485,79,10,4,160,17.5606,0.5926,35.554,1,1123,23628,0
19,256,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.039000,1464,79,10,4,160,18.2031,0.6147,36.879,1,1123,23628,0
20,256,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.042000,1469,79,10,4,160,23.1761,0.5924,35.543,1,1123,23628,1
21,256,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.040000,1405,79,10,4,160,10.4399,0.5858,35.151,1,1123,23628,0
22,256,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.041000,1395,79,10,4,160,11.6004,0.5858,35.151,1,1123,23628,0
23,256,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.029000,1394,79,10,4,160,16.9537,0.5860,35.161,1,1123,23628,0
24,256,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.038000,1398,79,10,4,160,17.4961,0.5858,35.151,1,1123,23628,1
25,256,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.040000,1460,79,10,4,160,18.2229,0.6147,36.879,1,1123,23628,0
26,256,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043000,1399,79,10,4,160,23.1859,0.5860,35.161,1,1123,23628,1
27,256,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.041000,842,54,6,4,129,10.1286,0.4181,25.089,1,1123,23628,1
28,256,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.042000,1488,79,10,4,160,23.1761,0.5926,35.554,1,1123,23628,0
29,256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.055000,1375,76,10,4,147,35.7972,0.5937,35.623,1,1123,23628,1
