generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
504,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074000,1033,42,9,4,602,8.9700,0.3336,20.013,1,1123,23628,100.0,0.0,100.0,0.0
504,1,256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1925,72,13,4,605,36.5000,0.7217,43.299,1,1123,23628,0.0,100.0,0.0,100.0
504,2,256,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.076000,1977,73,13,4,616,1.6900,0.7214,43.283,1,1123,23628,50.0,50.0,50.0,50.0
504,3,256,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.076000,1977,73,13,4,616,11.5500,0.7214,43.283,1,1123,23628,50.0,50.0,50.0,50.0
504,4,256,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.074000,1499,58,13,4,610,9.2200,0.5812,34.872,1,1123,23628,0.0,100.0,100.0,0.0
504,5,256,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1349,57,9,4,603,10.1400,0.4941,29.649,1,1123,23628,100.0,0.0,0.0,100.0
504,6,256,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.076000,1970,75,13,4,620,8.9900,0.7184,43.102,1,1123,23628,62.5,37.5,87.5,12.5
504,7,256,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0.076000,1970,75,13,4,620,2.4500,0.7184,43.102,1,1123,23628,25.0,75.0,37.5,62.5
504,8,256,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.076000,1982,74,13,4,618,1.3900,0.7250,43.500,1,1123,23628,75.0,25.0,75.0,25.0
504,9,256,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0.076000,1973,75,13,4,620,9.3500,0.7184,43.102,1,1123,23628,25.0,75.0,50.0,50.0
504,10,256,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0.076000,1968,75,13,4,620,9.7000,0.7184,43.107,1,1123,23628,50.0,50.0,62.5,37.5
504,11,256,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0.076000,1970,75,13,4,620,2.8900,0.7184,43.102,1,1123,23628,50.0,50.0,12.5,87.5
504,12,256,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0.076000,1978,75,13,4,620,10.2500,0.7184,43.102,1,1123,23628,75.0,25.0,12.5,87.5
504,13,256,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0.076000,1967,75,13,4,620,9.3500,0.7184,43.107,1,1123,23628,50.0,50.0,50.0,50.0
504,14,256,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0.076000,1967,75,13,4,620,2.3000,0.7184,43.107,1,1123,23628,62.5,37.5,37.5,62.5
504,15,256,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0.076000,1968,75,13,4,620,9.6800,0.7184,43.107,1,1123,23628,25.0,75.0,50.0,50.0
504,16,256,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0.076000,1975,75,13,4,620,9.4400,0.7184,43.102,1,1123,23628,62.5,37.5,62.5,37.5
504,17,256,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.076000,1975,75,13,4,620,9.2600,0.7184,43.102,1,1123,23628,37.5,62.5,75.0,25.0
504,18,256,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0.076000,1964,75,13,4,620,1.6300,0.7184,43.102,1,1123,23628,0.0,100.0,75.0,25.0
504,19,256,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0.076000,1968,75,13,4,620,1.6300,0.7184,43.107,1,1123,23628,37.5,62.5,25.0,75.0
504,20,256,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.076000,1970,75,13,4,620,9.2100,0.7184,43.102,1,1123,23628,62.5,37.5,87.5,12.5
504,21,256,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0.076000,1967,75,13,4,620,9.4800,0.7184,43.107,1,1123,23628,62.5,37.5,50.0,50.0
504,22,256,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.076000,1970,75,13,4,620,9.2800,0.7184,43.102,1,1123,23628,50.0,50.0,87.5,12.5
504,23,256,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.076000,1970,75,13,4,620,1.3800,0.7184,43.107,1,1123,23628,50.0,50.0,75.0,25.0
504,24,256,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0.076000,1970,75,13,4,620,1.7600,0.7184,43.102,1,1123,23628,62.5,37.5,25.0,75.0
504,25,256,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0.076000,1970,75,13,4,620,1.7700,0.7184,43.102,1,1123,23628,75.0,25.0,50.0,50.0
504,26,256,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0.076000,1970,75,13,4,620,9.0800,0.7184,43.102,1,1123,23628,50.0,50.0,62.5,37.5
504,27,256,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0.076000,1970,75,13,4,620,9.2900,0.7184,43.102,1,1123,23628,37.5,62.5,62.5,37.5
504,28,256,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0.076000,1978,74,13,4,618,1.6800,0.7201,43.209,1,1123,23628,50.0,50.0,25.0,75.0
505,0,256,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0.076000,1970,75,13,4,620,9.0400,0.7184,43.102,1,1123,23628,62.5,37.5,75.0,25.0
505,1,256,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0.076000,1970,75,13,4,620,9.4700,0.7184,43.102,1,1123,23628,37.5,62.5,50.0,50.0
