generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,s9_mult,s9_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
704,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074000,1055,48,9,4,614,9.0500,0.4183,20.078,1,5243,102740,100.0,0.0,100.0,0.0
704,1,1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1898,80,13,4,621,18.5500,0.8990,43.154,1,5243,102740,0.0,100.0,0.0,100.0
704,2,1024,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.076000,1952,81,13,4,632,1.4900,0.8991,43.157,1,5243,102740,50.0,50.0,50.0,50.0
704,3,1024,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1952,81,13,4,632,11.4300,0.8991,43.157,1,5243,102740,50.0,50.0,50.0,50.0
704,4,1024,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.074000,1503,66,13,4,626,9.2500,0.6987,33.537,1,5243,102740,0.0,100.0,100.0,0.0
704,5,1024,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1360,65,9,4,619,9.6800,0.6152,29.532,1,5243,102740,100.0,0.0,0.0,100.0
704,6,1024,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.076000,1966,81,13,4,632,9.0800,0.8975,43.081,1,5243,102740,60.0,40.0,60.0,40.0
704,7,1024,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0.076000,1963,81,13,4,632,1.8700,0.8977,43.092,1,5243,102740,30.0,70.0,20.0,80.0
704,8,1024,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076000,1945,80,13,4,630,1.4100,0.8990,43.154,1,5243,102740,80.0,20.0,80.0,20.0
704,9,1024,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0.076000,1964,81,13,4,632,1.7000,0.8975,43.081,1,5243,102740,30.0,70.0,40.0,60.0
704,10,1024,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0.076000,1966,81,13,4,632,1.8200,0.8975,43.081,1,5243,102740,60.0,40.0,50.0,50.0
704,11,1024,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0.076000,1966,81,13,4,632,1.6400,0.8975,43.081,1,5243,102740,40.0,60.0,70.0,30.0
704,12,1024,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0.076000,1966,81,13,4,632,1.5300,0.8975,43.081,1,5243,102740,40.0,60.0,70.0,30.0
704,13,1024,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0.076000,1966,81,13,4,632,9.0400,0.8975,43.081,1,5243,102740,50.0,50.0,70.0,30.0
704,14,1024,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0.076000,1966,81,13,4,632,9.0200,0.8975,43.081,1,5243,102740,40.0,60.0,80.0,20.0
704,15,1024,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0.076000,1969,81,13,4,632,1.4300,0.8975,43.081,1,5243,102740,40.0,60.0,70.0,30.0
704,16,1024,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0.076000,1966,81,13,4,632,1.4200,0.8975,43.081,1,5243,102740,70.0,30.0,60.0,40.0
704,17,1024,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.076000,1962,81,13,4,632,9.0800,0.8975,43.081,1,5243,102740,60.0,40.0,60.0,40.0
704,18,1024,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0.076000,1965,81,13,4,632,1.8300,0.8977,43.092,1,5243,102740,50.0,50.0,40.0,60.0
704,19,1024,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0.076000,1966,81,13,4,632,9.4300,0.8975,43.081,1,5243,102740,40.0,60.0,70.0,30.0
704,20,1024,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0.076000,1966,81,13,4,632,1.5700,0.8975,43.081,1,5243,102740,60.0,40.0,50.0,50.0
704,21,1024,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0.076000,1966,81,13,4,632,9.3300,0.8975,43.081,1,5243,102740,60.0,40.0,60.0,40.0
704,22,1024,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.075000,1398,66,9,4,626,9.0900,0.6152,29.532,1,5243,102740,100.0,0.0,50.0,50.0
704,23,1024,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.076000,1966,81,13,4,632,1.4900,0.8975,43.081,1,5243,102740,40.0,60.0,60.0,40.0
704,24,1024,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0.076000,1962,81,13,4,632,9.3200,0.8975,43.081,1,5243,102740,60.0,40.0,50.0,50.0
704,25,1024,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0.076000,1966,81,13,4,632,9.0700,0.8975,43.081,1,5243,102740,70.0,30.0,70.0,30.0
704,26,1024,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0.076000,1966,81,13,4,632,1.8400,0.8975,43.081,1,5243,102740,60.0,40.0,50.0,50.0
704,27,1024,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.076000,1967,81,13,4,632,9.2500,0.8975,43.081,1,5243,102740,60.0,40.0,70.0,30.0
704,28,1024,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0.076000,1963,81,13,4,632,9.2400,0.8975,43.081,1,5243,102740,50.0,50.0,70.0,30.0
705,0,1024,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0.076000,1966,81,13,4,632,1.6400,0.8975,43.081,1,5243,102740,60.0,40.0,40.0,60.0
705,1,1024,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.076000,1966,81,13,4,632,9.2500,0.8975,43.081,1,5243,102740,50.0,50.0,60.0,40.0
705,2,1024,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0.076000,1966,81,13,4,632,9.0900,0.8975,43.081,1,5243,102740,40.0,60.0,70.0,30.0
705,3,1024,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0.076000,1966,81,13,4,632,9.3500,0.8975,43.081,1,5243,102740,50.0,50.0,60.0,40.0
705,4,1024,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0.076000,1964,81,13,4,632,9.2400,0.8975,43.081,1,5243,102740,60.0,40.0,80.0,20.0
705,5,1024,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0.076000,1966,81,13,4,632,1.7700,0.8975,43.081,1,5243,102740,30.0,70.0,30.0,70.0
705,6,1024,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1947,81,13,4,632,5.1700,0.8991,43.157,1,5243,102740,10.0,90.0,10.0,90.0
705,7,1024,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0.076000,1966,81,13,4,632,9.0900,0.8975,43.081,1,5243,102740,90.0,10.0,50.0,50.0
705,8,1024,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0.076000,1966,81,13,4,632,1.4400,0.8975,43.081,1,5243,102740,80.0,20.0,10.0,90.0
705,9,1024,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.076000,1965,81,13,4,632,9.0700,0.8975,43.081,1,5243,102740,40.0,60.0,70.0,30.0
705,10,1024,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.076000,1964,81,13,4,632,9.0700,0.8975,43.081,1,5243,102740,70.0,30.0,80.0,20.0
705,11,1024,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0.076000,1967,81,13,4,632,10.1000,0.8975,43.081,1,5243,102740,60.0,40.0,50.0,50.0
705,12,1024,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1944,81,13,4,632,11.4300,0.8992,43.160,1,5243,102740,40.0,60.0,40.0,60.0
705,13,1024,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0.076000,1966,81,13,4,632,1.6600,0.8975,43.081,1,5243,102740,60.0,40.0,60.0,40.0
705,14,1024,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076000,1947,81,13,4,632,9.0500,0.8991,43.157,1,5243,102740,90.0,10.0,90.0,10.0
705,15,1024,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0.076000,1966,81,13,4,632,9.0700,0.8975,43.081,1,5243,102740,80.0,20.0,70.0,30.0
705,16,1024,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0.076000,1966,81,13,4,632,9.4500,0.8975,43.081,1,5243,102740,50.0,50.0,70.0,30.0
705,17,1024,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.075000,1398,66,9,4,626,9.0800,0.6152,29.532,1,5243,102740,100.0,0.0,60.0,40.0
705,18,1024,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.076000,1966,81,13,4,632,9.0900,0.8975,43.081,1,5243,102740,70.0,30.0,70.0,30.0
705,19,1024,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.076000,1966,81,13,4,632,9.0800,0.8975,43.081,1,5243,102740,70.0,30.0,70.0,30.0
705,20,1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.076000,1917,81,13,4,623,12.2400,0.8975,43.081,1,5243,102740,10.0,90.0,0.0,100.0
705,21,1024,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,1964,81,13,4,632,11.4800,0.8975,43.081,1,5243,102740,50.0,50.0,40.0,60.0
705,22,1024,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0.076000,1962,81,13,4,632,9.2500,0.8975,43.081,1,5243,102740,40.0,60.0,60.0,40.0
705,23,1024,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0.076000,1966,81,13,4,632,9.4200,0.8975,43.081,1,5243,102740,50.0,50.0,60.0,40.0
705,24,1024,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.076000,1966,81,13,4,632,9.3400,0.8975,43.081,1,5243,102740,70.0,30.0,60.0,40.0
705,25,1024,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.076000,1966,81,13,4,632,9.4000,0.8975,43.081,1,5243,102740,50.0,50.0,80.0,20.0
