generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
2,0,4,0,0,0,0,0.073000,951,24,9,4,566,82.5300,0.2327,18.614,1,31,528,100.0,0.0,100.0,0.0
2,1,4,1,1,1,1,0.074000,1869,56,13,4,573,80.1600,0.5253,42.023,1,31,528,0.0,100.0,0.0,100.0
2,2,4,1,1,0,0,0.074000,1913,57,13,4,584,13.5400,0.5254,42.029,1,31,528,50.0,50.0,50.0,50.0
2,3,4,0,0,1,1,0.075000,1920,57,13,4,584,82.5300,0.5254,42.029,1,31,528,50.0,50.0,50.0,50.0
2,4,4,1,0,1,0,0.073000,1431,42,13,4,578,82.5300,0.4169,33.353,1,31,528,0.0,100.0,100.0,0.0
2,5,4,0,1,0,1,0.074000,1252,41,9,4,571,21.6800,0.3448,27.582,1,31,528,100.0,0.0,0.0,100.0
2,6,4,0,0,0,1,0.074000,1293,42,9,4,578,82.5300,0.3448,27.582,1,31,528,100.0,0.0,50.0,50.0
2,7,4,1,0,0,0,0.073000,1430,43,13,4,580,82.5300,0.4169,33.353,1,31,528,50.0,50.0,100.0,0.0
2,8,4,1,0,0,1,0.075000,1905,57,13,4,584,82.5300,0.5258,42.065,1,31,528,50.0,50.0,50.0,50.0
2,9,4,0,1,0,0,0.074000,1288,42,9,4,578,13.8300,0.3448,27.582,1,31,528,100.0,0.0,50.0,50.0
2,10,4,1,0,1,1,0.075000,1908,57,13,4,584,82.5300,0.5258,42.065,1,31,528,0.0,100.0,50.0,50.0
2,11,4,1,1,0,1,0.074000,1862,57,13,4,575,33.0700,0.5258,42.065,1,31,528,50.0,50.0,0.0,100.0
2,12,4,0,1,1,1,0.074000,1862,57,13,4,575,23.9000,0.5258,42.065,1,31,528,50.0,50.0,0.0,100.0
3,0,4,0,1,1,0,0.074000,1898,57,13,4,584,13.8300,0.5258,42.065,1,31,528,50.0,50.0,50.0,50.0
3,1,4,1,1,1,0,0.074000,1901,57,13,4,584,13.5400,0.5258,42.065,1,31,528,0.0,100.0,50.0,50.0
3,2,4,0,0,1,0,0.073000,1430,43,13,4,580,82.5300,0.4169,33.353,1,31,528,50.0,50.0,100.0,0.0
